309;312;CSE;
310;543;CFRM;
311;301;COM;
312;107;CSS;
313;323;CM;
314;351;CSE;
315;426;CHEM;
316;536;CS&SS;
317;480;E;
318;596;CSS;
319;411;CM;
320;410;CENV;
321;302;CHIN;
322;311;CSE;
323;446;CEP;
324;525;E;
325;460;CFRM;
326;340;CM;
327;551;CHEM;
328;200;CLIT;
329;431;CM;
330;530;CHEM;
331;475;CHEM;
332;339;COM;
333;498;CEE;
334;531;CONJ;
335;582;CM;
336;501;COM;
337;507;CSS;
338;310;E;
339;313;CLIT;
340;551;CHIN;
341;424;CEE;
342;451;CSE;
343;337;CHEM;
344;499;E;
345;485;CHEM;
346;480;CHID;
347;520;CHEM;
348;459;COM;
349;360;CSS;
350;477;CSE;
351;475;CEE;
352;524;CSEP;
353;563;CEE;
354;301;CHIN;
355;436;E;
356;211;CHIN;
357;498;CM;
358;535;CM;
359;415;CSE;
360;453;CHEM;
361;558;CFRM;
362;343;CSS;
363;456;CHEM;
364;452;CEE;
365;323;CLIT;
366;500;COM;
367;321;CHEM;
368;505;CS&SS;
369;240;CLIT;
370;301;CSS;
371;432;CM;
372;550;CHEM;
373;484;CSE;
374;569;CS&SS;
375;545;CEE;
376;417;CHEM;
377;457;E;
378;564;CS&SS;
379;242;CHEM;
380;312;CM;
381;234;CHIN;
382;482;CEE;
383;478;COM;
384;444;CHID;
385;588;CM;
386;330;CHSTU;
387;271;CLIT;
388;317;CEE;
389;155;CHEM;
390;200;CEP;
391;562;CONJ;
392;534;CSS;
393;205;CLAS;
394;482;CHIN;
395;566;CSS;
396;490;CEP;
397;441;CEE;
398;498;CHID;
399;588;CEE;
400;411;CSS;
401;490;CHID;
402;557;CEE;
403;541;CEE;
404;540;CEE;
405;504;CEE;
406;412;CM;
407;162;CSS;
408;502;CSDE;
409;101;CHIN;
410;423;CM;
411;463;CFRM;
412;201;COM;
413;462;CHIN;
414;496;CHIN;
415;473;CSS;
416;442;CEE;
417;421;CSS;
418;500;CM;
419;552;CHEM;
420;525;CM;
421;404;CEE;
422;335;CHEM;
423;377;CEE;
424;357;CEE;
425;557;CFRM;
426;555;CFRM;
427;103;CHIN;
428;334;CM;
429;413;CM;
430;303;CEP;
431;382;COM;
432;337;CEE;
433;454;CEE;
434;481;CSE;
435;113;CHIN;
436;590;CM;
437;486;E;
438;565;CEE;
439;564;CSEP;
440;551;CSEP;
441;580;CM;
442;342;CSS;
443;548;CFRM;
444;400;CLIT;
445;556;E;
446;224;CHEM;
447;350;CSS;
448;320;CHSTU;
449;511;CLIT;
450;599;CEE;
451;162;CHEM;
452;329;COM;
453;577;CSS;
454;565;CSS;
455;145;CHEM;
456;330;E;
457;551;CFRM;
458;290;CSS;
459;531;CHEM;
460;455;CSE;
461;578;CSS;
462;510;CFRM;
463;450;CM;
464;546;CFRM;
465;326;CLAS;
466;544;CHIN;
467;530;E;
468;513;COM;
469;301;E;
470;161;CSSSKL;
471;312;CHEM;
472;555;CSS;
473;481;CEE;
474;250;CHID;
475;490;CEE;
476;457;CHEM;
477;154;CSE;
478;545;CSS;
479;487;CSS;
480;549;CONJ;
481;547;CEE;
482;342;CHSTU;
483;456;CEE;
484;578;CEE;
485;161;CSS;
486;336;CHEM;
487;322;CM;
488;142;CHEM;
489;520;CFRM;
490;433;CM;
491;110;CHID;
492;427;CSE;
493;460;CSE;
494;573;CEE;
495;509;CSSSKL;
496;513;CEE;
497;509;CLIT;
498;101;CHID;
499;361;CLIT;
500;321;CM;
501;569;CEE;
502;567;CEE;
503;331;CSE;
504;142;CSE;
505;500;CHEM;
506;320;CM;
507;501;CLLI;
508;517;CSE;
509;463;CHEM;
510;465;E;
511;427;CSS;
512;414;CSE;
513;332;CM;
514;541;CFRM;
515;367;CEE;
516;251;CLIT;
517;549;CSS;
518;205;CSS;
519;343;CLAR;
520;422;CLAS;
521;568;CEE;
522;370;CSS;
523;238;CHEM;
524;362;COM;
525;521;CSEP;
526;596;COM;
527;519;COM;
528;498;CEP;
529;260;CHID;
530;422;CM;
531;579;CSE;
532;480;CSS;
533;522;CHEM;
534;518;CEE;
535;303;CHIN;
536;458;CSS;
537;471;CSE;
538;420;CEE;
539;496;CEE;
540;557;CSEP;
541;302;COM;
542;477;CEE;
543;595;CSS;
544;455;CHEM;
545;530;CM;
546;590;CSS;
547;581;CEE;
548;496;CSS;
549;440;CSE;
550;503;CSEP;
551;470;CHIN;
552;546;CONJ;
553;549;CEE;
554;491;CHID;
555;486;CHEM;
556;505;CEE;
557;436;CHEM;
